bimp,0.0,bimp1,0.0,bimp2,0.0
example,16.0,example,16.0
shooterA,14.0,shooterA1,9.0,shooterA2,5.0
shooterB,10.0,shooterB,10.0
shooterC,9.0,shooterC,9.0
